스테이지,기존_TASK,측정_TASK_ID,측정_TASK명,주체,주요_시스템,주요_불합리,근거상태,월_수행횟수_N,평균_실작업분_T,평균_경과대기분,평균_투입인원_P,재작업률_R,평균_재작업분_Tr,전체_대상수,상태확인_가능대상수,판단필요_Parameter수,동시표시_Parameter수,시간당_총인건비,월_총인시,월_인건비,비고
종합분석,T-08,A-03,EES 공정 Trend 조회,PCS기술팀,EES,P1/P2/P3,원문활동,,,,,,,,,,,,,,
종합분석,T-08,A-04,iEES 인프라 Trend 조회,PCS기술팀,iEES,P1/P2/P3,원문활동,,,,,,,,,,,,,,
종합분석,T-08,A-05,다중 Trend 정합성 비교,PCS기술팀,FDC/EES/iEES,P2/P5,원문활동,,,,,,,,,,,,,,
종합분석,T-09,A-06,센서와 계통 위치 매핑,PCS기술팀,배기계통도,P1/P4,문서공백,,,,,,,,,,,,,,
종합분석,T-09,A-07,전단 Main설비 및 Pump 영향 분석,PCS기술팀,FDC/EES/계통도,P1/P5,원문활동,,,,,,,,,,,,,,
종합분석,T-09,A-08,후단 Main Lateral 영향 분석,PCS기술팀,iEES/EES/계통도,P1/P5,원문활동,,,,,,,,,,,,,,
종합분석,T-10,A-09,최근 PM 일자 확인,PCS기술팀,G-EMS,P1,원문활동,,,,,,,,,,,,,,
종합분석,T-10,A-10,최근 PM 이후 Daily Gas 사용량 조회,PCS기술팀,EES-SMAS,P1/P3,원문활동,,,,,,,,,,,,,,
종합분석,T-10,A-11,Daily Gas 누적 합산 및 수명 대비율 계산,PCS기술팀,EES-SMAS,P1/P4,문서공백,,,,,,,,,,,,,,
종합분석,T-11,A-12,TPSS 생산량 및 가동률 조회,PCS기술팀,TPSS,P1/P3,원문활동,,,,,,,,,,,,,,
종합분석,T-11,A-13,설비 부하 수준 및 상대순위 분석,PCS기술팀,TPSS,P4/P5,문서공백,,,,,,,,,,,,,,
종합분석,G-05,A-14,Gas 생산량 Trend 판단근거 통합,PCS기술팀,분석결과,P4/P5,문서공백,,,,,,,,,,,,,,
조치,T-12,W-01,원인과 의심구간 기반 작업내용 초안,Main기술팀,G-EMS,P5/P6,원문활동,,,,,,,,,,,,,,
조치,T-12,W-02,작업범위 및 주의사항 검토,Main기술팀,G-EMS,P5/P9,원문활동,,,,,,,,,,,,,,
조치,T-12,W-03,WO 승인 및 발행,Main기술팀,G-EMS,P7,문서공백,,,,,,,,,,,,,,
조치,T-13,W-04,자동(SBO) 및 Main WO 통합 확인과 수취,협력사,G-EMS,P1/P7,문서공백,,,,,,,,,,,,,,
조치,T-14,W-05,작업 SOP 검색 및 확인,협력사,SOP 문서,P1/P4,원문활동,,,,,,,,,,,,,,
조치,T-14,W-06,조정 교체 세정 셋업 수행,협력사,현장작업,P8,원문활동,,,,,,,,,,,,,,
조치,T-15,W-07,교체부품 작업결과 특이사항 입력,협력사,G-EMS,P6,원문활동,,,,,,,,,,,,,,
조치,T-15,W-08,작업 전후 EES 데이터 첨부,협력사,G-EMS/EES,P1/P6,원문활동,,,,,,,,,,,,,,
조치,T-15,W-09,작업 후 Qual 수행,협력사,G-EMS/EES,P4/P9,원문활동,,,,,,,,,,,,,,
검증종결,G-06,V-01,작업 후 센서 Trend 조회 및 안정성 확인,PCS기술팀,EES,P1/P2,원문활동,,,,,,,,,,,,,,
검증종결,T-16,V-02,검증 통과 WO Close,PCS기술팀,G-EMS,P7,원문활동,,,,,,,,,,,,,,
검증종결,G-06,V-03,검증 실패 재분석 및 에스컬레이션,PCS기술팀,FDC/EES/iEES,P7/P9,문서공백,,,,,,,,,,,,,,
검증종결,T-16,V-04,Case 결과 및 오탐 미탐 라벨 기록,PCS기술팀,피드백저장소/확인필요,P6/P10,확인필요,,,,,,,,,,,,,,
검증종결,T-16,V-05,SBO 룰 피드백 및 튜닝,PCS기술팀,EES(SBO),P4/P10,원문활동,,,,,,,,,,,,,,
